,Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors
0,Urban Company,Gurgaon,2014,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Apps, Home Services, Marketplace, Service Industry",Urban is a marketplace for independent contractors.,1001-5000,445920356,12,16
1,Classplus,Noida,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustagi","B2B, E-Learning, EdTech, Education, Mobile Apps, SaaS, Software",Classplus is a mobile-first SaaS platform that allows 3000+ tutors to totally automate their curriculum and operations.,101-250,89506451,10,20
2,Paytm,Noida,2010,"Akshay Khanna, Vijay Shekhar Sharma","E-Commerce, Finance, Financial Services, Internet, Mobile Apps, Mobile Payments",Paytm is a payment gateway that allows users and businesses to make payments.,501-1000,32448851,4,4
3,Apna,Mumbai,2019,Nirmit Parikh,"Employment, Human Resources, Recruiting, Staffing Agency",Apna is a professional networking and job-search platform that connects blue- and gray-collar professionals with like-minded people and places to work.,101-250,93450000,4,6
4,Razorpay,Bengaluru,2014,"Harshil Mathur, Shashank Kumar","Financial Services, FinTech, Payments, Software","Razorpay is a payment acceptance, processing, and disbursement platform for businesses.",1001-5000,366600000,7,29
5,UpGrad,Mumbai,2015,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","E-Learning, EdTech, Education","UpGrad is a higher education portal that offers courses in Data Science, Technology, Management, and Law online.",1001-5000,176283446,4,4
6,Delhivery,Gurgaon,2011,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","E-Commerce, Freight Service, Last Mile Transportation, Logistics, Shipping, Supply Chain Management, Transportation, Warehousing","Delhivery is a supply chain management firm that specializes in transportation, warehousing, freight, and order fulfillment.",5001-10000,1236569361,11,13
7,1mg,Gurgaon,2015,"Anurag Mundhada, Gaurav Agarwal, Prashant Tandon, Sameer Maheshwari, Vikas Chauhan","Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",1mg is a generic drug engine and online pharmacy network platform.,Nov-50,204600209,16,17
8,BigBasket,Bengaluru,2011,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Ramesh, VS Sudhakar","Delivery, Delivery Service, E-Commerce, Grocery, Internet, Retail, Shopping",BigBasket is an online grocery and meal delivery service that brings personal and household items to customers' doorsteps.,5001-10000,1119863468,17,17
9,GoMechanic,Gurgaon,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Puneet Gulati, Rishabh Karwa","Automotive, Customer Service, E-Commerce, Sales",GoMechanic is an online vehicle repair platform that allows consumers to arrange car maintenance at a convenient time.,251-500,59849371,8,9
10,Unacademy,Bengaluru,2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","E-Learning, EdTech, Education, Training",Unacademy is a web-based learning portal that offers educational materials such as video lectures and exams.,251-500,398500000,11,36
11,Ola,Kormangala,2010,"Ankit Bhati, Bhavish Aggarwal","Apps, Internet, Mobile, Ride Sharing, Transportation",Ola is an Indian mobility platform and ride-hailing firm.,5001-10000,3808672049,25,45
12,Licious,Bengaluru,2015,"Abhay Hanjura, Vivek Gupta","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",Licious is an online meat and seafood ordering firm with a complete business model.,1001-5000,158589644,7,20
13,CRED,Bengaluru,2018,Kunal Shah,"Credit Cards, Financial Services, FinTech, Payments, Personal Finance",CRED is a members-only credit card management and bill-paying website that pays customers for paying their bills on time.,251-500,471205550,6,28
14,CityMall,Gurgaon,2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan","Consumer Goods, E-Commerce, Lifestyle",CityMall is a peer-to-peer e-commerce company that offers lifestyle and curated products through WhatsApp referrals.,101-250,37100000,5,14
15,Pine Labs,Noida,1998,"Rajul Garg, Tarun Upaday","Financial Services, FinTech, Information Technology, Payments",Pine Labs is a merchant commerce platform that offers merchants funding and technology for last-mile retail transactions.,1001-5000,423238799,8,15
16,Dodla Dairy,Hyderabad,1995,D. Sunil Reddy,"Consumer Goods, Food and Beverage, Food Processing, Manufacturing",Dodla Dairy processes and distributes milk and dairy products with added value.,501-1000,71276176,3,13
17,Groww,Bengaluru,2017,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Financial Services, FinTech, Funding Platform, Impact Investing",Groww is a new investment platform that combines stockbroking and direct mutual funds to provide a new way to invest money.,251-500,142262674,6,16
18,Grofers,Gurgaon,2013,"Albinder Dhindsa, Saurabh Kumar","Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail",Grofers is a low-cost online supermarket that also delivers groceries.,1001-5000,662398135,13,13
19,Jumbotail,Bengaluru,2015,"Ashish Jhina, Karthik Venkateswaran","E-Commerce, Food and Beverage, Grocery, Marketplace, Retail",Jumbotail is an online marketplace that makes groceries and food purchasing easier.,101-250,55345400,8,20
20,slice,Bengaluru,2016,"Deepak Malhotra, Rajan Bajaj","Banking, Financial Services, FinTech, Lending, Payments","Slice is the finest credit card challenger in India for paying bills, managing finances, and earning quick rewards.",251-500,53665909,8,20
21,InMobi,Bengaluru,2007,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah","Advertising, Advertising Platforms, Digital Media, Marketing, Mobile",InMobi creates an ad serving algorithm that aids in the optimization of the ranking of advertising displayed on mobile phones.,501-1000,320600000,7,6
22,Dunzo,Bengaluru,2015,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Delivery, Delivery Service, E-Commerce, Mobile, Mobile Apps",Dunzo is a hyper-local delivery app that matches consumers with the closest delivery partner.,1001-5000,128399438,15,24
23,BYJU’S,Bengaluru,2011,"Byju Raveendran, Divya Gokulnath","E-Learning, EdTech, Education, Higher Education, Software",BYJU'S is an educational technology firm that creates tailored learning programs for kids in grades K through 12.,10001+,2745964432,18,38
24,Cashfree,Bengaluru,2015,"Akash Sinha, Reeju Datta","Finance, Financial Services, FinTech, Mobile Payments, Payments",Cashfree is a payments and banking technology startup based in India that helps businesses collect payments and make payouts online.,251-500,40920000,4,6
25,MediBuddy,Bengaluru,2000,Satish Kannan,"Health Care, Health Insurance, Medical, mHealth","MediBuddy is a digital healthcare platform that offers inpatient and outpatient hospitalization, as well as corporate wellness benefits.",1001-5000,67132379,5,12
26,Progcap,New Delhi,2017,Pallavi Shrivastava,"Enterprise, Finance, Financial Services, FinTech, Supply Chain Management",Progcap is a financial services firm that assists micro and small businesses with financing.,Nov-50,32324325,4,9
27,Capital Float,Bengaluru,2013,"Gaurav Hinduja, Sashank Rishyasringa","B2B, Financial Services, FinTech, Small and Medium Businesses",Cash Float is an online platform that helps small businesses get operating capital.,51-100,150417120,11,12
28,CARS24,Gurgaon,2015,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Artificial Intelligence, Automotive, B2C, E-Commerce, Marketplace, Sales Automation, Software, Transaction Processing",CARS24 is a technologically advanced platform for buying and selling used vehicles.,1001-5000,393848044,5,21
29,Bharat Biotech,Hyderabad,1996,"Krishna Ella, Suchitra Ella",Biotechnology,India's second-largest vaccine manufacturer,501-1000,14100000,3,3
30,Skillmatics,Mumbai,2016,"Devanshi Kejriwal, Dhvanil Sheth","Children, Education",Skillmatics creates educational games for children in pre-school and primary school.,Nov-50,7419353,2,2
31,Rapido,Bengaluru,2015,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation",Rapido is an online bike taxi aggregator and logistics service that enables people to share their bicycles with others.,1001-5000,121996807,9,32
