startup_name,industry,sub_industry,city,year_founded,company_age,funding_stage,total_funding_usd_mn,revenue_usd_mn,growth_rate_pct,employees,burn_rate_usd_mn_monthly,profit_loss_usd_mn,market_size_usd_bn,market_growth_rate_pct,website_traffic_mn_monthly,app_downloads_mn,social_media_followers_mn,competitor_count,customer_retention_pct,nps_score
BrightPay,EV,EV Fleet,Pune,2019,6,Series B,14.4,7.7,14.5,336,13.0,28.1,144.5,10.7,48.5,83.26,4.33,23,74.0,77
NovaMed,Foodtech,Food Delivery,Hyderabad,2012,13,Seed,2.9,1.1,117.1,447,3.6,-38.2,127.5,23.4,49.16,46.73,17.21,9,49.4,58
SwiftCart,Edtech,Corporate Training,Bengaluru,2013,12,Series C,46.1,29.8,35.0,236,10.3,29.3,168.3,16.1,19.61,18.31,15.13,8,51.4,23
LearnUp,Foodtech,Food Delivery,Gurugram,2021,4,Series A,4.0,6.8,89.5,86,5.0,24.2,109.0,43.6,42.24,74.76,10.84,26,59.6,79
GreenWheel,Ecommerce,Electronics,Pune,2012,13,Seed,51.8,46.2,40.9,185,0.4,-24.2,145.2,37.7,30.34,92.64,13.06,30,87.5,27
CloudServe,Ecommerce,B2B Commerce,Bengaluru,2014,11,Growth,8.3,9.5,50.9,463,14.6,60.4,147.1,18.3,12.88,4.14,14.24,28,41.4,32
QuickBite,Healthtech,HealthOS,Noida,2015,10,Seed,470.2,239.3,75.7,437,8.2,-23.6,189.1,31.0,34.77,88.06,12.52,8,65.1,63
SafeVault,Ecommerce,Electronics,Chennai,2021,4,Series B,36.8,61.1,38.5,103,9.8,-49.9,77.0,20.7,8.32,53.46,9.75,35,46.6,63
SkillBridge,Logistics,Cold Chain,Delhi,2015,10,Seed,74.4,129.7,36.2,227,7.6,-10.9,64.1,11.3,30.52,50.32,1.12,39,59.0,20
MediSync,Healthtech,Diagnostics,Mumbai,2021,4,Growth,215.2,141.3,89.6,519,5.6,32.2,130.4,28.8,4.61,83.55,6.48,8,78.3,22
FreshRoute,Ecommerce,Electronics,Delhi,2014,11,Series C,158.4,130.4,18.8,448,14.1,1.7,108.4,39.3,33.82,73.55,4.26,33,88.3,54
DataFlow,EV,EV Fleet,Noida,2020,5,Series A,7.0,12.6,116.1,275,8.5,64.7,45.9,19.8,35.05,84.68,17.14,35,75.3,30
PayEasy,Fintech,WealthTech,Hyderabad,2014,11,Series C,107.8,189.8,39.8,207,4.7,13.1,95.2,44.8,8.88,1.91,9.93,22,60.2,27
EduReach,EV,Battery Tech,Bengaluru,2014,11,Seed,11.2,13.3,117.6,502,7.4,67.8,92.5,22.3,32.29,66.93,17.3,21,71.5,68
HealthFirst,Logistics,Last Mile,Hyderabad,2016,9,Series C,80.9,139.9,45.0,406,8.4,24.4,196.3,12.6,15.35,19.17,5.44,5,49.3,44
ShopSmart,Edtech,Upskilling,Chennai,2014,11,Series A,18.9,23.1,118.9,285,2.3,17.4,176.7,35.9,34.88,70.28,7.25,31,56.3,45
ChargeUp,Healthtech,Diagnostics,Bengaluru,2021,4,Growth,28.0,45.6,11.1,215,8.8,7.0,137.7,21.5,7.84,98.19,16.79,24,53.8,61
WorkFlow,Foodtech,Restaurant Tech,Chennai,2016,9,Series B,355.1,221.5,77.8,278,1.5,-43.3,111.0,28.9,31.91,72.64,19.52,32,42.3,75
TasteHub,EV,Battery Tech,Hyderabad,2018,7,Series A,22.7,9.6,56.0,137,10.4,-42.4,183.9,25.5,12.07,9.48,3.74,3,92.5,58
SecurePay,Logistics,Cold Chain,Pune,2018,7,Growth,60.6,32.6,21.5,135,5.3,-38.1,27.9,20.9,48.98,17.62,0.44,28,67.0,58
TalentUp,Ecommerce,D2C Fashion,Chennai,2018,7,Growth,37.0,11.9,112.5,413,7.6,20.1,140.0,31.6,47.2,94.43,17.36,34,91.7,43
CareConnect,Ecommerce,B2B Commerce,Delhi,2012,13,Series C,706.0,1208.8,51.2,34,14.4,67.7,47.2,12.4,5.13,1.92,1.98,37,58.5,45
DeliverFast,Logistics,Last Mile,Mumbai,2021,4,Series A,12.4,12.9,85.6,107,5.4,71.8,17.4,24.6,48.38,54.84,8.53,26,84.4,68
InsightAI,Healthtech,Mental Health,Hyderabad,2012,13,Series A,24.5,41.6,104.1,782,6.5,47.6,153.4,13.6,45.14,50.57,16.55,24,56.4,38
MoneyMap,Fintech,WealthTech,Hyderabad,2020,5,Growth,33.3,57.8,83.8,654,7.3,14.1,25.8,13.2,30.16,55.41,4.33,25,83.0,58
ClassRoom,SaaS,CRM,Mumbai,2018,7,Series A,80.6,109.5,116.5,1306,10.4,58.8,174.7,39.3,21.36,22.34,7.99,29,78.8,24
WellnessAI,SaaS,CRM,Chennai,2019,6,Series B,9.6,14.6,114.1,59,14.8,47.9,81.5,12.9,38.88,55.88,8.54,28,58.2,22
StyleStore,SaaS,CRM,Mumbai,2021,4,Series C,151.8,232.9,91.4,527,10.3,-19.1,86.0,26.7,4.24,52.88,8.78,34,70.6,66
VoltRide,SaaS,Analytics,Chennai,2016,9,Growth,150.2,62.1,26.6,84,3.4,-11.7,199.2,34.4,19.27,73.74,18.31,12,92.3,27
TeamBase,Foodtech,AgriTech,Noida,2016,9,Series C,19.9,19.8,47.6,134,8.8,-39.9,195.1,44.5,34.94,53.66,6.26,22,73.2,67
FoodFirst,SaaS,CRM,Chennai,2017,8,Series B,11.2,19.0,105.0,1527,0.9,-46.6,81.5,38.4,49.37,15.13,11.92,27,93.3,46
TrustPay,Fintech,Payments,Bengaluru,2020,5,Series A,8.1,3.1,104.8,134,12.2,80.0,199.4,29.4,38.47,94.48,17.01,19,53.3,28
GrowthPath,Foodtech,Food Delivery,Delhi,2015,10,Growth,128.2,157.3,48.1,79,1.9,37.3,108.9,37.0,26.06,85.23,11.08,7,44.9,78
DocConnect,Fintech,Payments,Noida,2016,9,Growth,216.9,358.9,77.1,413,14.7,29.1,131.0,29.4,4.64,72.67,10.99,35,83.1,79
TradeLink,Foodtech,Restaurant Tech,Mumbai,2012,13,Series B,53.6,36.8,59.4,542,14.7,14.0,72.5,32.2,12.08,7.68,2.66,18,48.4,73
MetricsPro,Logistics,Cross Border,Hyderabad,2019,6,Series C,180.6,193.8,117.0,193,9.1,-20.9,166.1,22.1,17.45,3.28,11.02,7,65.3,45
CashFlow,Foodtech,Cloud Kitchen,Bengaluru,2020,5,Series A,51.9,69.1,65.3,99,2.5,-1.0,10.5,40.4,4.32,59.77,19.73,24,53.0,47
StudyPal,EV,EV Charging,Noida,2021,4,Series A,109.1,116.5,67.6,334,1.8,8.2,111.2,18.5,13.54,37.79,0.5,19,51.6,45
ClinicAI,Foodtech,AgriTech,Bengaluru,2015,10,Seed,4.0,5.1,61.7,165,8.8,45.8,116.0,30.5,28.27,37.94,6.82,28,73.4,78
CartKing,Logistics,Cold Chain,Pune,2020,5,Growth,35.4,18.7,35.5,192,2.6,-25.7,64.2,16.1,44.85,8.12,10.54,39,94.0,50
PowerGrid,Foodtech,Cloud Kitchen,Hyderabad,2015,10,Series C,470.7,720.8,88.5,227,8.1,12.0,169.3,17.2,48.4,71.12,4.07,22,53.3,66
ProjectHub,Fintech,BNPL,Chennai,2015,10,Growth,157.3,134.3,58.9,45,8.3,21.4,48.3,34.0,4.48,13.97,0.15,11,72.8,43
MealDash,Foodtech,Restaurant Tech,Delhi,2016,9,Seed,85.2,145.5,28.3,133,1.2,46.3,119.1,39.5,7.07,79.55,4.11,32,85.4,56
SafeNet,SaaS,Marketing Tech,Delhi,2015,10,Series A,146.1,193.5,58.6,44,10.8,67.0,128.6,28.9,21.99,57.79,7.17,4,69.9,59
SkillSet,Logistics,Cold Chain,Gurugram,2017,8,Series B,66.6,53.4,23.6,432,12.0,30.6,111.4,41.3,39.45,15.25,6.3,39,82.8,52
MedTrack,Foodtech,AgriTech,Chennai,2021,4,Series A,391.7,178.0,68.1,235,5.8,9.4,124.8,27.6,27.04,48.69,8.24,4,40.7,70
ShipFast,Healthtech,Mental Health,Hyderabad,2016,9,Series A,13.3,12.4,40.2,123,9.3,68.5,36.4,13.5,12.88,72.64,11.9,38,90.5,24
AnalyticsX,Logistics,Last Mile,Noida,2012,13,Series A,522.4,489.1,90.5,939,14.0,70.3,95.7,14.0,49.24,83.91,2.58,3,87.8,74
ZeroPay,Healthtech,Mental Health,Gurugram,2020,5,Growth,21.0,31.1,75.6,473,1.9,3.9,174.1,42.3,23.34,48.14,18.38,26,71.8,71
EduFirst,Foodtech,Food Delivery,Noida,2012,13,Seed,23.1,14.6,31.8,605,7.8,76.8,97.2,29.5,43.05,53.55,3.77,9,72.7,32
HealthHub,Foodtech,Restaurant Tech,Delhi,2019,6,Series B,47.6,27.9,12.1,285,7.2,23.4,22.5,37.1,22.72,52.49,8.87,32,70.8,23
BrandCart,Fintech,WealthTech,Pune,2021,4,Series B,148.4,135.5,10.8,64,2.5,43.1,135.2,10.9,11.18,23.18,13.47,10,45.7,66
ChargeFast,SaaS,Marketing Tech,Delhi,2019,6,Seed,40.9,56.6,103.8,168,12.5,1.6,136.9,17.2,14.73,89.64,0.36,9,80.5,40
OpsFlow,Healthtech,Mental Health,Pune,2015,10,Series B,281.7,469.3,78.0,637,5.2,57.3,79.0,11.2,41.55,34.58,15.5,11,64.0,63
SpiceRoute,Healthtech,Mental Health,Mumbai,2019,6,Series C,66.7,118.6,60.8,92,2.9,13.0,107.4,36.0,34.97,40.31,4.44,24,85.9,23
VaultPay,Edtech,Test Prep,Pune,2013,12,Growth,7.7,8.7,81.0,424,12.5,-23.2,12.1,14.8,45.01,87.4,11.99,14,74.8,72
